a,b,pearson,spearman,agreement,near_clone
pine.hl_ott,pine.wavetrend,-0.1290510480444657,-0.12905104804446565,0.4150375939849624,False
neural.lstm,rule.signal_rolling,0.12893919854620658,0.1289391985462067,0.5593984962406015,False
rule.signal_rolling,technical.adx,-0.12841303018193242,-0.12685195800096496,0.2621553884711779,False
neural.vanilla_rnn,technical.structure,-0.1266252377758445,-0.12649199602229363,0.37543859649122807,False
pine.mavilim,rl.policy_gradient,-0.1249986630489928,-0.1251546004955988,0.41904761904761906,False
pine.vix_fix,pine.wavetrend,-0.12320459971525756,-0.12320459971525738,0.5177944862155388,False
rl.evolution_strategy,technical.rsi,-0.12125470328017009,-0.12147773582085207,0.3994987468671679,False
neural.gru,technical.roc,-0.12078689374647186,-0.12067914667739457,0.43609022556390975,False
rule.signal_rolling,technical.roc,-0.11644222307039477,-0.11655364189001867,0.4370927318295739,False
rl.evolution_strategy,technical.adx,-0.11601360762792948,-0.11608669262528507,0.25914786967418546,False
rl.evolution_strategy,rule.turtle,0.11536355826591532,0.1148885213957441,0.530827067669173,False
pine.wavetrend,technical.donchian,-0.1132008785447945,-0.11331592447387576,0.42105263157894735,False
pine.leledc,rl.evolution_strategy,0.1124157521099787,0.1141854013443136,0.5298245614035088,False
rl.evolution_strategy,technical.trend_ma,-0.11225299137333114,-0.11296836696861277,0.40150375939849625,False
neural.lstm,pine.leledc,0.1118764710259952,0.11187647102599493,0.5383458646616541,False
pine.vix_fix,technical.obv,-0.11150461663134559,-0.1115046166313455,0.4050125313283208,False
rl.neuro_evolution,technical.obv,-0.10324398152851545,-0.10340027650065697,0.42656641604010026,False
pine.mavilim,rl.evolution_strategy,-0.10302378471471266,-0.10372735368649011,0.40852130325814534,False
neural.gru,pine.leledc,-0.10203134927756534,-0.10203134927756509,0.4531328320802005,False
rule.signal_rolling,technical.structure,-0.10115380640526289,-0.10303096041390185,0.4045112781954887,False
pine.supertrend,rl.evolution_strategy,-0.10046442507318004,-0.10009218610903636,0.4130325814536341,False
neural.gru,technical.trend_slope,0.10010145505524333,0.10010145505524322,0.5458646616541354,False
rl.evolution_strategy,technical.roc,-0.09808608349255095,-0.09819911617995934,0.40902255639097745,False
pine.supertrend,rule.signal_rolling,-0.09788426660047132,-0.09788426660047139,0.44912280701754387,False
rl.evolution_strategy,technical.trend_slope,-0.09406571187732349,-0.09525308660612081,0.4105263157894737,False
neural.vanilla_rnn,rule.moving_average_crossover,-0.09249035426387067,-0.09249035426387071,0.4395989974937343,False
rl.policy_gradient,technical.macd,0.09206085367997184,0.09220114174395506,0.5258145363408522,False
rl.evolution_strategy,technical.structure,-0.09093289311117374,-0.09446397956848644,0.37844611528822053,False
neural.gru,rule.signal_rolling,0.08721277055603305,0.08721277055603302,0.544360902255639,False
rl.evolution_strategy,technical.obv,-0.0848092514022225,-0.08460123566138124,0.4145363408521303,False
rl.neuro_evolution,rl.neuro_evolution__novelty_search,0.08373893443439635,0.08384332942338714,0.5288220551378446,False
rl.evolution_strategy,rl.neuro_evolution,0.08264946433067574,0.08163781941850108,0.5132832080200501,False
pine.vix_fix,rl.policy_gradient,-0.08258738939689983,-0.0826604775364538,0.45864661654135336,False
neural.gru,pine.wavetrend,-0.08226168530680902,-0.0822616853068089,0.46616541353383456,False
pine.vix_fix,technical.trend_ma,-0.08147323148846228,-0.08147323148846222,0.4180451127819549,False
rl.neuro_evolution,rule.turtle,0.0814195063187867,0.0814805439500253,0.5298245614035088,False
rule.turtle,technical.macd,-0.08053649547085377,-0.08053649547085374,0.45513784461152884,False
pine.hl_ott,rl.evolution_strategy,-0.08007101207368078,-0.07926304864969312,0.41904761904761906,False
pine.wavetrend,technical.bollinger,0.07896309426015473,0.07896309426015453,0.562406015037594,False
rl.neuro_evolution,technical.adx,-0.0770622858591569,-0.07613184158852795,0.2711779448621554,False
neural.gru,technical.structure,-0.07676057974601089,-0.07639763821734222,0.4170426065162907,False
rl.evolution_strategy,technical.bollinger,0.07646942375285037,0.07676055368729758,0.512280701754386,False
pine.vix_fix,technical.trend_slope,0.07604072702931912,0.07604072702931915,0.49022556390977445,False
rl.policy_gradient,technical.trend_slope,-0.07087588280421923,-0.07104781797310404,0.44411027568922307,False
rl.neuro_evolution,technical.donchian,-0.06985844330406743,-0.06975256134264557,0.4431077694235589,False
neural.gru,technical.adx,-0.06869885966781766,-0.06658921029601836,0.2862155388471178,False
pine.supertrend,rl.neuro_evolution,-0.06784328766340275,-0.06787438173755926,0.4471177944862155,False
rl.evolution_strategy,technical.donchian,-0.0676755252431954,-0.06780981389419014,0.4245614035087719,False
rl.evolution_strategy,rl.neuro_evolution__novelty_search,0.06448635930506187,0.06473135200263942,0.506265664160401,False
neural.gru,pine.supertrend,-0.06362134840074363,-0.06362134840074359,0.4666666666666667,False
rl.neuro_evolution,technical.trend_ma,-0.063489699006532,-0.0634737108418428,0.44511278195488724,False
rl.policy_gradient,technical.obv,-0.06220666832693599,-0.06232637386514001,0.4481203007518797,False
neural.vanilla_rnn,rl.neuro_evolution,0.05871616433207044,0.05861436618796145,0.5203007518796993,False
rl.neuro_evolution,technical.roc,-0.058676952520432604,-0.05872313260399122,0.44611528822055135,False
rl.neuro_evolution,technical.rsi,-0.0582195614967319,-0.05818871867610592,0.44912280701754387,False
pine.mavilim,rl.neuro_evolution,-0.05794585488142778,-0.05817396346677573,0.4496240601503759,False
rl.evolution_strategy,rule.moving_average_crossover,-0.05751589390664963,-0.0573277940989741,0.43007518796992483,False
